City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,marsa matruh,31.35,27.25,57.2,71,20,9.17,EG,1586378682
87,west fargo,46.88,-96.9,45.0,52,90,26.4,US,1586378493
88,coahuayana,18.73,-103.68,93.2,20,40,11.41,MX,1586378683
89,leningradskiy,69.38,178.42,3.15,89,95,7.87,RU,1586378683
90,bluff,-46.6,168.33,51.01,92,100,15.99,NZ,1586378454
91,lichuan,30.3,108.85,46.9,61,1,0.43,CN,1586378683
92,ordynskoye,54.37,81.9,31.3,89,96,7.76,RU,1586378683
93,chokurdakh,70.63,147.92,-12.44,90,45,6.02,RU,1586378446
94,chuy,-33.7,-53.46,61.97,74,43,14.36,UY,1586378396
95,yellowknife,62.46,-114.35,26.6,42,5,11.41,CA,1586378683
96,usakos,-22.0,15.6,72.27,28,0,0.83,NA,1586378536
97,hasaki,35.73,140.83,48.2,93,20,10.29,JP,1586378684
98,clearlake,38.96,-122.63,75.0,63,40,10.29,US,1586378565
99,sao joao da barra,-21.64,-41.05,75.2,83,90,9.17,BR,1586378684
100,gigmoto,13.78,124.39,80.29,69,2,6.93,PH,1586378684
101,santa ana,33.75,-117.87,63.0,48,40,10.29,US,1586378685
102,coihaique,-45.58,-72.07,69.8,49,0,4.0,CL,1586378685
103,srednekolymsk,67.45,153.68,0.14,91,94,9.48,RU,1586378685
104,alatri,41.73,13.34,57.99,82,25,5.82,IT,1586378526
105,albany,42.6,-73.97,57.99,47,75,8.05,US,1586378519
106,okha,53.57,142.95,22.42,96,2,10.69,RU,1586378685
107,orlik,52.52,99.83,22.26,64,6,3.38,RU,1586378402
108,yar-sale,66.83,70.83,15.85,96,100,15.46,RU,1586378686
109,ponta do sol,32.67,-17.1,69.8,77,20,3.36,PT,1586378686
110,kruisfontein,-34.0,24.73,59.47,68,78,16.11,ZA,1586378429
111,great falls,47.5,-111.3,43.0,41,1,4.99,US,1586378686
112,thompson,55.74,-97.86,32.0,91,90,11.41,CA,1586378465
113,sayyan,15.17,44.32,59.45,19,0,3.49,YE,1586378686
114,hunterville,-39.93,175.57,60.01,68,37,1.99,NZ,1586378686
